date,account,ticker,shares,cost_basis,price,current_value,portfolio_value,allocation_pct
2025-10-25T18:48:10.773013+00:00,R Roth IRA,FFFFX,36299.62,9.64,13.51000022888184,490407.87450832373,1386740.422656338,0.35364071494284016
2025-10-25T18:48:10.773013+00:00,R Roth IRA,FBGRX,996.787,152.03,261.1499938964844,260310.918966095,1386740.422656338,0.18771423599772374
2025-10-25T18:48:10.773013+00:00,S Roth IRA,FFFFX,2082.877,9.85,13.51000022888184,28139.66874673271,1386740.422656338,0.020291951029184272
2025-10-25T18:48:10.773013+00:00,R TFSA,XEQT.TO,408.6366,39.41,39.75500106811523,16245.348469470977,1386740.422656338,0.011714772428968777
2025-10-25T18:48:10.773013+00:00,R TFSA,XCH.TO,408.0,26.77,26.969999313354492,11003.759719848633,1386740.422656338,0.007934981587087971
2025-10-25T18:48:10.773013+00:00,S TFSA,XEQT.TO,637.0603,39.52,39.75500106811523,25326.332906953812,1386740.422656338,0.018263210975303187
2025-10-25T18:48:10.773013+00:00,S TFSA,ZAG.TO,771.8494,14.08,14.029999732971191,10829.046875893973,1386740.422656338,0.007808993448933037
2025-10-25T18:48:10.773013+00:00,Joint non-reg,XEQT.TO,7730.8065,39.52,39.75500106811523,307338.2206648922,1386740.422656338,0.2216263517264303
2025-10-25T18:48:10.773013+00:00,Joint non-reg,VE.TO,1577.3948,43.86,44.06999969482422,69515.78835461731,1386740.422656338,0.05012891181282361
2025-10-25T18:48:10.773013+00:00,R RRSP,XUU.TO,286.0,69.89,69.88999938964844,19988.539825439453,1386740.422656338,0.014414045699447396
2025-10-25T18:48:10.773013+00:00,R RRSP,XEF.TO,431.0,46.36,46.36000061035156,19981.160263061523,1386740.422656338,0.014408724182703987
2025-10-25T18:48:10.773013+00:00,R RRSP,XEC.TO,2325.1587,36.82,36.81999969482422,85612.34262441787,1386740.422656338,0.06173638643952209
2025-10-25T18:48:10.773013+00:00,R RRSP,XIC.TO,394.0,48.43,48.43000030517578,19081.420120239258,1386740.422656338,0.013759907628342075
2025-10-25T18:48:10.773013+00:00,R RRSP,XBB.TO,800.0,28.7,28.700000762939453,22960.000610351562,1386740.422656338,0.01655681210068938
